| Project number | Title | Description |
| :-------: | --------------------------- |----------- |
| 16 | [Song Genre Classification with Spotify API](https://github.com/IMMontoya/spotify_genre_predictor/blob/main/README.md) | Details the data gathering process for a larger team project for building a machine learning model. |
| 15 | [Predicting Customer Churn with Boosting Algorithms](https://github.com/IMMontoya/interconnect_predict_churn/blob/main/README.MD) | Develops a binary classification model to predict customer churn for a telecommunications company using boosting algorithms. Achieves an accuracy of 81%. |
| 14 | [Predicting Age with Computer Vision](https://github.com/IMMontoya/predicting_age_with_computer_vision/blob/main/README.MD) | Develops a computer vision model to predict the age of a person based on a photo for the purposes of age verification in alcohol sales. |
| 13 | [Sentiment Analysis with Natural Language Processing](https://github.com/IMMontoya/sentiment_analysis_with_natural_language_processing/blob/main/README.MD) | Uses natural language processing (NLP) with machine learning to conduct sentiment analysis on movie reviews. |
| 12 | [Forecasting Hourly Taxi Orders Using Machine Learning](https://github.com/IMMontoya/forecasting_hourly_taxi_orders_using_machine_learning/blob/main/README.MD) | Develops and evaluates 5 models to accurately predict hourly taxi orders using historical data and time series analysis. |
| 11 | [Predicting Used Car Market Values with Machine Learning](https://github.com/IMMontoya/predicting_used_car_market_values_with_machine_learning/blob/main/README.md) | Developes and evaluates 4 machine learning models to determine the best model to accurately predict the market value of used cars using historical data on technical specifications, trim versions, and prices. |
| 10 | [Machine Learning Exploration for Insurance Company](https://github.com/IMMontoya/Machine_Learning_Exploration_for_Insurance_Company/blob/main/README.MD) | Evaluates Machine Learning's potential for finding similar customers, predicting insurance benefits, and protecting client data. |
| 9 | [Machine Learning Model for Efficiency in Gold Mining](https://github.com/IMMontoya/Machine-Learning-Model-for-Efficiency-in-Gold-Mining/blob/main/README.md) | Develops a machine learning model to predict gold recovery using regression, cross validation, and Symmetric Mean Absolute Percentage Error for validation. |
| 8 | [Optimizing Oil Well Placement Using Predictive Modeling and Risk Analysis](https://github.com/IMMontoya/Optimizing-Oil-Well-Placement-Using-Predictive-Modeling-and-Risk-Analysis/blob/main/README.MD) | Builds a linear regression model to predict oil reserves for OilyGiant, and uses bootstrap analysis to maximize profit and minimize risk in selecting the optimal region for new well development.|
| 7 | [Customer Churn Prediction](https://github.com/IMMontoya/Predict_Customer_Churn/blob/main/README.md) | Develops a binary classification machine learning model to predict customer churn for Beta Bank based on historical customer data. Achieves 82% accuracy. |
| 6 | [Product Recommendation System using Machine Learning](https://github.com/IMMontoya/Mobile-Plan-Recommendation-System-using-Machine-Learning/blob/main/README.md) | Develops a machine learning model for a mobile carrier by analyzing subscriber behavior data, evaluating various classifiers, and optimizing model performance to recommend the most suitable mobile plan. |
| 5 | [Competitor Analysis for Ride Sharing Company](https://github.com/IMMontoya/competitor_analysis_for_ridesharing_company/blob/main/README.md) | Conducts a detailed competitor analysis for a ride-sharing company by parsing web data, querying databases, and analyzing ride statistics to evaluate performance metrics and the impact of weather on ride durations. |
| 4 | [Global Video Game Sales Analysis](https://github.com/IMMontoya/global_videogame_sales_analysis/blob/main/README.md) | Provides analysis of video game sales from 1980 to 2016, highlighting trends in platform life cycles, genre profitability, and regional preferences to guide strategic decisions in the gaming industry. |
| 2 | [Telecom Statistical Data Analysis](https://github.com/IMMontoya/Telecom_SDA/blob/main/README.md)| A detailed statistical analysis and hypothesis testing project on Megaline's telecom data to compare revenue generation between Surf and Ultimate plans and assess geographical influence on earnings.|
| 1 | [Instacart Exploratory Data Analysis](https://github.com/IMMontoya/Instacart_EDA/blob/main/README.md)| A comprehensive exploratory data analysis of the Instacart dataset to reveal purchasing patterns, product popularity, and customer behavior insights.|
